Año;Mes;Moneda;Partida;Nombre Partida;Capítulo;Nombre Capítulo;Programa;Nombre Programa;Subtítulo;Nombre Subtítulo;Item;Nombre Item;Asignación;Monto Ley Inicial;Monto Ley Vigente a DICIEMBRE
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;32;PRÉSTAMOS;;;;100;100
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;1;SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR;32;PRÉSTAMOS;7;Por Anticipos por Cambio de Residencia;;100;100
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;6;SUBSECRETARÍA DE RELACIONES ECONÓMICAS INTERNACIONALES;1;SUBSECRETARÍA DE RELACIONES ECONÓMICAS INTERNACIONALES;8;OTROS INGRESOS CORRIENTES;;;;10;10
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;6;SUBSECRETARÍA DE RELACIONES ECONÓMICAS INTERNACIONALES;1;SUBSECRETARÍA DE RELACIONES ECONÓMICAS INTERNACIONALES;8;OTROS INGRESOS CORRIENTES;99;Otros;;10;10
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;6;SUBSECRETARÍA DE RELACIONES ECONÓMICAS INTERNACIONALES;1;SUBSECRETARÍA DE RELACIONES ECONÓMICAS INTERNACIONALES;9;APORTE FISCAL;;;;5100;4830
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;6;SUBSECRETARÍA DE RELACIONES ECONÓMICAS INTERNACIONALES;1;SUBSECRETARÍA DE RELACIONES ECONÓMICAS INTERNACIONALES;9;APORTE FISCAL;1;Libre;;5100;4830
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;6;SUBSECRETARÍA DE RELACIONES ECONÓMICAS INTERNACIONALES;1;SUBSECRETARÍA DE RELACIONES ECONÓMICAS INTERNACIONALES;11;VENTA DE ACTIVOS FINANCIEROS;;;;297;298
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;6;SUBSECRETARÍA DE RELACIONES ECONÓMICAS INTERNACIONALES;1;SUBSECRETARÍA DE RELACIONES ECONÓMICAS INTERNACIONALES;11;VENTA DE ACTIVOS FINANCIEROS;3;Operaciones de Cambio;;297;298
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;6;SUBSECRETARÍA DE RELACIONES ECONÓMICAS INTERNACIONALES;1;SUBSECRETARÍA DE RELACIONES ECONÓMICAS INTERNACIONALES;21;GASTOS EN PERSONAL;;;;1300;807
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;6;SUBSECRETARÍA DE RELACIONES ECONÓMICAS INTERNACIONALES;1;SUBSECRETARÍA DE RELACIONES ECONÓMICAS INTERNACIONALES;22;BIENES Y SERVICIOS DE CONSUMO;;;;443;429
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;6;SUBSECRETARÍA DE RELACIONES ECONÓMICAS INTERNACIONALES;1;SUBSECRETARÍA DE RELACIONES ECONÓMICAS INTERNACIONALES;24;TRANSFERENCIAS CORRIENTES;;;;2986;3209
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;6;SUBSECRETARÍA DE RELACIONES ECONÓMICAS INTERNACIONALES;1;SUBSECRETARÍA DE RELACIONES ECONÓMICAS INTERNACIONALES;24;TRANSFERENCIAS CORRIENTES;3;A Otras Entidades Públicas;;2955;3197
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;6;SUBSECRETARÍA DE RELACIONES ECONÓMICAS INTERNACIONALES;1;SUBSECRETARÍA DE RELACIONES ECONÓMICAS INTERNACIONALES;24;TRANSFERENCIAS CORRIENTES;3;A Otras Entidades Públicas;554;1741;1594
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;6;SUBSECRETARÍA DE RELACIONES ECONÓMICAS INTERNACIONALES;1;SUBSECRETARÍA DE RELACIONES ECONÓMICAS INTERNACIONALES;24;TRANSFERENCIAS CORRIENTES;3;A Otras Entidades Públicas;557;173;36
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;6;SUBSECRETARÍA DE RELACIONES ECONÓMICAS INTERNACIONALES;1;SUBSECRETARÍA DE RELACIONES ECONÓMICAS INTERNACIONALES;24;TRANSFERENCIAS CORRIENTES;3;A Otras Entidades Públicas;560;91;0
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;6;SUBSECRETARÍA DE RELACIONES ECONÓMICAS INTERNACIONALES;1;SUBSECRETARÍA DE RELACIONES ECONÓMICAS INTERNACIONALES;24;TRANSFERENCIAS CORRIENTES;3;A Otras Entidades Públicas;561;950;1567
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;6;SUBSECRETARÍA DE RELACIONES ECONÓMICAS INTERNACIONALES;1;SUBSECRETARÍA DE RELACIONES ECONÓMICAS INTERNACIONALES;24;TRANSFERENCIAS CORRIENTES;7;A Organismos Internacionales;;31;12
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;6;SUBSECRETARÍA DE RELACIONES ECONÓMICAS INTERNACIONALES;1;SUBSECRETARÍA DE RELACIONES ECONÓMICAS INTERNACIONALES;24;TRANSFERENCIAS CORRIENTES;7;A Organismos Internacionales;1;31;12
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;6;SUBSECRETARÍA DE RELACIONES ECONÓMICAS INTERNACIONALES;1;SUBSECRETARÍA DE RELACIONES ECONÓMICAS INTERNACIONALES;29;ADQUISICIÓN DE ACTIVOS NO FINANCIEROS;;;;189;203
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;6;SUBSECRETARÍA DE RELACIONES ECONÓMICAS INTERNACIONALES;1;SUBSECRETARÍA DE RELACIONES ECONÓMICAS INTERNACIONALES;29;ADQUISICIÓN DE ACTIVOS NO FINANCIEROS;6;Equipos Informáticos;;58;58
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;6;SUBSECRETARÍA DE RELACIONES ECONÓMICAS INTERNACIONALES;1;SUBSECRETARÍA DE RELACIONES ECONÓMICAS INTERNACIONALES;29;ADQUISICIÓN DE ACTIVOS NO FINANCIEROS;7;Programas Informáticos;;131;145
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;6;SUBSECRETARÍA DE RELACIONES ECONÓMICAS INTERNACIONALES;1;SUBSECRETARÍA DE RELACIONES ECONÓMICAS INTERNACIONALES;33;TRANSFERENCIAS DE CAPITAL;;;;192;192
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;6;SUBSECRETARÍA DE RELACIONES ECONÓMICAS INTERNACIONALES;1;SUBSECRETARÍA DE RELACIONES ECONÓMICAS INTERNACIONALES;33;TRANSFERENCIAS DE CAPITAL;1;Al Sector Privado;;192;192
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;6;SUBSECRETARÍA DE RELACIONES ECONÓMICAS INTERNACIONALES;1;SUBSECRETARÍA DE RELACIONES ECONÓMICAS INTERNACIONALES;33;TRANSFERENCIAS DE CAPITAL;1;Al Sector Privado;65;192;192
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;6;SUBSECRETARÍA DE RELACIONES ECONÓMICAS INTERNACIONALES;1;SUBSECRETARÍA DE RELACIONES ECONÓMICAS INTERNACIONALES;34;SERVICIO DE LA DEUDA;;;;297;298
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;6;SUBSECRETARÍA DE RELACIONES ECONÓMICAS INTERNACIONALES;1;SUBSECRETARÍA DE RELACIONES ECONÓMICAS INTERNACIONALES;34;SERVICIO DE LA DEUDA;2;Amortización Deuda Externa;;297;298
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;7;DIRECCIÓN GENERAL DE PROMOCIÓN DE EXPORTACIONES;1;DIRECCIÓN GENERAL DE PROMOCIÓN DE EXPORTACIONES;8;OTROS INGRESOS CORRIENTES;;;;10;10
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;7;DIRECCIÓN GENERAL DE PROMOCIÓN DE EXPORTACIONES;1;DIRECCIÓN GENERAL DE PROMOCIÓN DE EXPORTACIONES;8;OTROS INGRESOS CORRIENTES;99;Otros;;10;10
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;7;DIRECCIÓN GENERAL DE PROMOCIÓN DE EXPORTACIONES;1;DIRECCIÓN GENERAL DE PROMOCIÓN DE EXPORTACIONES;9;APORTE FISCAL;;;;17924;17571
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;7;DIRECCIÓN GENERAL DE PROMOCIÓN DE EXPORTACIONES;1;DIRECCIÓN GENERAL DE PROMOCIÓN DE EXPORTACIONES;9;APORTE FISCAL;1;Libre;;17924;17571
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;7;DIRECCIÓN GENERAL DE PROMOCIÓN DE EXPORTACIONES;1;DIRECCIÓN GENERAL DE PROMOCIÓN DE EXPORTACIONES;11;VENTA DE ACTIVOS FINANCIEROS;;;;4354;5138
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;7;DIRECCIÓN GENERAL DE PROMOCIÓN DE EXPORTACIONES;1;DIRECCIÓN GENERAL DE PROMOCIÓN DE EXPORTACIONES;11;VENTA DE ACTIVOS FINANCIEROS;3;Operaciones de Cambio;;4354;5138
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;7;DIRECCIÓN GENERAL DE PROMOCIÓN DE EXPORTACIONES;1;DIRECCIÓN GENERAL DE PROMOCIÓN DE EXPORTACIONES;21;GASTOS EN PERSONAL;;;;13600;12690
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;7;DIRECCIÓN GENERAL DE PROMOCIÓN DE EXPORTACIONES;1;DIRECCIÓN GENERAL DE PROMOCIÓN DE EXPORTACIONES;22;BIENES Y SERVICIOS DE CONSUMO;;;;2938;3397
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;7;DIRECCIÓN GENERAL DE PROMOCIÓN DE EXPORTACIONES;1;DIRECCIÓN GENERAL DE PROMOCIÓN DE EXPORTACIONES;24;TRANSFERENCIAS CORRIENTES;;;;4858;5737
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;7;DIRECCIÓN GENERAL DE PROMOCIÓN DE EXPORTACIONES;1;DIRECCIÓN GENERAL DE PROMOCIÓN DE EXPORTACIONES;24;TRANSFERENCIAS CORRIENTES;3;A Otras Entidades Públicas;;4858;5737
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;7;DIRECCIÓN GENERAL DE PROMOCIÓN DE EXPORTACIONES;1;DIRECCIÓN GENERAL DE PROMOCIÓN DE EXPORTACIONES;24;TRANSFERENCIAS CORRIENTES;3;A Otras Entidades Públicas;2;70;159
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;7;DIRECCIÓN GENERAL DE PROMOCIÓN DE EXPORTACIONES;1;DIRECCIÓN GENERAL DE PROMOCIÓN DE EXPORTACIONES;24;TRANSFERENCIAS CORRIENTES;3;A Otras Entidades Públicas;3;1804;2268
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;7;DIRECCIÓN GENERAL DE PROMOCIÓN DE EXPORTACIONES;1;DIRECCIÓN GENERAL DE PROMOCIÓN DE EXPORTACIONES;24;TRANSFERENCIAS CORRIENTES;3;A Otras Entidades Públicas;5;136;136
2022;Diciembre;DOLARES;6;MINISTERIO DE RELACIONES EXTERIORES;7;DIRECCIÓN GENERAL DE PROMOCIÓN DE EXPORTACIONES;1;DIRECCIÓN GENERAL DE PROMOCIÓN DE EXPORTACIONES;24;TRANSFERENCIAS CORRIENTES;3;A Otras Entidades Públicas;6;1950;2248
